County,education(2015-2019)
Alameda,47.4
Alpine,34.5
Amador,19.3
Butte,27.2
Calaveras,18.3
Colusa,15
Contra Costa,42.4
Del Norte,14.8
El Dorado,34.3
Fresno,21.2
Glenn,14.2
Humboldt,30.4
Imperial,15.2
Inyo,27.2
Kern,16.4
Kings,14.7
Lake,15.5
Lassen,12.9
Los Angeles,32.5
Madera,14.6
Marin,59.5
Mariposa,24.6
Mendocino,24.4
Merced,13.8
Modoc,15.2
Mono,28.8
Monterey,24.7
Napa,35.7
Nevada,37.2
Orange,40.6
Placer,39.7
Plumas,23.7
Riverside,22.3
Sacramento,30.9
San Benito,19.7
San Bernardino,21
San Diego,38.8
San Francisco,58.1
San Joaquin,18.8
San Luis Obispo,35.4
San Mateo,51
Santa Barbara,34.2
Santa Clara,52.4
Santa Cruz,40.8
Shasta,22.2
Sierra,17.9
Siskiyou,23.2
Solano,26.9
Sonoma,35.5
Stanislaus,17.1
Sutter,18.2
Tehama,15.7
Trinity,19.5
Tulare,14.6
Tuolumne,20.5
Ventura,33.8
Yolo,41.4
Yuba,17.1
