County,BEDS
Alameda,4548
Alpine,0
Amador,52
Butte,592
Calaveras,48
Colusa,48
Contra Costa,1993
Del Norte,49
El Dorado,240
Fresno,3605
Glenn,47
Humboldt,299
Imperial,268
Inyo,62
Kern,1833
Kings,223
Lake,62
Lassen,38
Los Angeles,30147
Madera,462
Marin,458
Mariposa,34
Mendocino,141
Merced,246
Modoc,113
Mono,17
Monterey,793
Napa,1780
Nevada,176
Orange,8402
Placer,748
Plumas,87
Riverside,3945
Sacramento,3550
San Benito,181
San Bernardino,6245
San Diego,8446
San Francisco,5226
San Joaquin,1280
San Luis Obispo,1747
San Mateo,2496
Santa Barbara,1054
Santa Clara,4546
Santa Cruz,432
Shasta,763
Sierra,39
Siskiyou,61
Solano,0
Sonoma,2071
Stanislaus,1584
Sutter,0
Tehama,92
Trinity,51
Tulare,2086
Tuolumne,152
Ventura,1624
Yolo,156
Yuba,173
