OBJECTID,NAME,CITY,STATE,POPULATION,COUNTY,BEDS
527,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,108,KENAI PENINSULA,108
532,FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,217,FAIRBANKS NORTH STAR,217
533,MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,74,MATANUSKA-SUSITNA,74
534,PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,21,VALDEZ-CORDOVA,21
535,MANIILAQ MEDICAL CENTER,KOTZEBUE,AK,17,NORTHWEST ARCTIC,17
536,MT EDGECUMBE HOSPITAL - SEARHC,SITKA,AK,27,SITKA,27
1230,NORTON SOUND REGIONAL HOSPITAL,NOME,AK,36,NOME,36
1346,ADAK MEDICAL CENTER - EAT,ADAK,AK,0,ALEUTIANS WEST,0
3235,ELMENDORF AFB HOSPITAL,ANCHORAGE,AK,57,ANCHORAGE,57
3238,YUKON - KUSKOKWIM DELTA REGIONAL HOSPITAL,BETHEL,AK,37,BETHEL,37
3243,ST. ELIAS SPECIALTY HOSPITAL,ANCHORAGE,AK,56,ANCHORAGE,56
3275,CROSS ROAD MEDICAL CENTER,GLENNALLEN,AK,0,VALDEZ-CORDOVA,0
3632,EIELSON MEDICAL CLINIC,EIELSON AFB,AK,0,FAIRBANKS NORTH STAR,0
3700,PROVIDENCE SEWARD MEDICAL CENTER,SEWARD,AK,46,KENAI PENINSULA,46
3701,WRANGELL MEDICAL CENTER,WRANGELL,AK,22,WRANGELL-PETERSBURG,22
4334,CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,AK,23,VALDEZ-CORDOVA,23
5194,NORTH STAR HOSPITAL - DEBARR CAMPUS,ANCHORAGE,AK,200,ANCHORAGE,200
5424,ALASKA PSYCHIATRIC INSTITUTE,ANCHORAGE,AK,80,ANCHORAGE,80
6257,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,371,ANCHORAGE,371
6259,ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,132,ANCHORAGE,132
6260,SOUTH PENINSULA HOSPITAL,HOMER,AK,50,KENAI PENINSULA,50
6261,SITKA COMMUNITY HOSPITAL,SITKA,AK,27,SITKA,27
6262,PETERSBURG MEDICAL CENTER,PETERSBURG,AK,27,WRANGELL-PETERSBURG,27
6422,ALASKA VA HEALTHCARE SYSTEM,ANCHORAGE,AK,50,ANCHORAGE,50
6647,PEACEHEALTH KETCHIKAN MEDICAL CENTER,KETCHIKAN,AK,54,KETCHIKAN GATEWAY,54
6648,KANAKANAK HOSPITAL,DILLINGHAM,AK,14,DILLINGHAM,14
6649,PROVIDENCE KODIAK ISLAND MEDICAL CENTER,KODIAK,AK,25,KODIAK ISLAND,25
6655,BASSETT ARMY COMMUNITY HOSPITAL,FORT WAINWRIGHT,AK,23,FAIRBANKS NORTH STAR,23
6678,ALASKA NATIVE MEDICAL CENTER - ANMC,ANCHORAGE,AK,148,ANCHORAGE,148
6690,SAMUEL SIMMONDS MEMORIAL HOSPITAL,BARROW,AK,10,NORTH SLOPE,10
7522,NORTH STAR HOSPITAL - BRAGAW CAMPUS,ANCHORAGE,AK,36,ANCHORAGE,36
7523,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,73,JUNEAU,73
766,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,252,SHELBY,252
767,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,420,HOUSTON,420
768,MEDICAL CENTER BARBOUR,EUFAULA,AL,74,BARBOUR,74
769,GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,50,CLARKE,50
770,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,51,ESCAMBIA,51
771,NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON,HAMILTON,AL,49,MARION,49
772,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,DECATUR,AL,230,MORGAN,230
773,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,346,ETOWAH,346
1086,ATHENS LIMESTONE HOSPITAL,ATHENS,AL,71,LIMESTONE,71
1087,SELECT SPECIALTY HOSPITAL,BIRMINGHAM,AL,607,JEFFERSON,607
1088,CHILDREN'S HOSPITAL OF ALABAMA,BIRMINGHAM,AL,332,JEFFERSON,332
1089,NOLAND HOSPITAL BIRMINGHAM,BIRMINGHAM,AL,45,SHELBY,45
1090,SELECT SPECIALTY HOSPITAL-BIRMINGHAM,BIRMINGHAM,AL,38,JEFFERSON,38
1091,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,1157,JEFFERSON,1157
1092,D. W. MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,91,ESCAMBIA,91
1093,J. PAUL JONES HOSPITAL,CAMDEN,AL,30,WILCOX,30
1094,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,25,WASHINGTON,25
1095,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,DEMOPOLIS,AL,99,MARENGO,99
1096,LAUREL OAKS BEHAVIORAL HEALTH CENTER,DOTHAN,AL,38,HOUSTON,38
1097,MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,131,COFFEE,131
1098,EVERGREEN MEDICAL CENTER,EVERGREEN,AL,58,CONECUH,58
1099,FAYETTE MEDICAL CENTER,FAYETTE,AL,61,FAYETTE,61
1100,MOUNTAIN VIEW HOSPITAL,GADSDEN,AL,68,ETOWAH,68
1102,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,147,MADISON,147
1103,"BEHAVIORAL HEALTHCARE CENTER AT HUNTSVILLE, INC.",HUNTSVILLE,AL,20,MADISON,20
1105,RMC JACKSONVILLE,JACKSONVILLE,AL,104,CALHOUN,104
1106,WALKER BAPTIST MEDICAL CENTER,JASPER,AL,267,WALKER,267
1109,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MONTGOMERY,MONTGOMERY,AL,70,MONTGOMERY,70
1110,JACKSON HOSPITAL AND CLINIC,MONTGOMERY,AL,344,MONTGOMERY,344
1111,LAWRENCE MEDICAL CENTER,MOULTON,AL,98,LAWRENCE,98
1113,NORTHPORT MEDICAL CENTER,NORTHPORT,AL,204,TUSCALOOSA,204
1114,MIZELL MEMORIAL HOSPITAL,OPP,AL,99,COVINGTON,99
1115,DALE MEDICAL CENTER,OZARK,AL,89,DALE,89
1118,RED BAY HOSPITAL,RED BAY,AL,25,FRANKLIN,25
1119,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,185,COLBERT,185
1121,COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,163,TALLADEGA,163
1122,CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,122,TALLADEGA,122
1123,VA MEDICAL CENTER - TUSCALOOSA,TUSCALOOSA,AL,0,TUSCALOOSA,0
1124,BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,61,BULLOCK,61
1125,ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,69,ELMORE,69
1133,MARY S. HARPER GERIATRIC PSYCHIATRY CENTER,TUSCALOOSA,AL,96,TUSCALOOSA,96
1622,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,145,CULLMAN,145
1635,"NOLAND HOSPITAL SHELBY, LLC",ALABASTER,AL,52,SHELBY,52
1636,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,358,LAUDERDALE,358
1638,MARSHALL MEDICAL CENTER NORTH,GUNTERSVILLE,AL,90,MARSHALL,90
1639,CAVHCS WEST CAMPUS,MONTGOMERY,AL,0,MONTGOMERY,0
1640,DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS,DECATUR,AL,108,MORGAN,108
1641,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF GADSDEN,GADSDEN,AL,44,ETOWAH,44
1642,FLOWERS HOSPITAL,DOTHAN,AL,235,HOUSTON,235
1643,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,134,DEKALB,134
1644,RUSSELL HOSPITAL,ALEXANDER CITY,AL,81,TALLAPOOSA,81
1645,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,372,JEFFERSON,372
1648,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,310,JEFFERSON,310
1983,STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,125,CALHOUN,125
1984,CLAY COUNTY HOSPITAL,ASHLAND,AL,45,CLAY,45
1986,PICKENS COUNTY MEDICAL CENTER,CARROLLTON,AL,56,PICKENS,56
1987,DECATUR MORGAN WEST,DECATUR,AL,64,MORGAN,64
1994,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,150,MONTGOMERY,150
1995,CROSSBRIDGE BEHAVIORAL HEALTH A BAPTIST SOUTH FACILITY,MONTGOMERY,AL,60,MONTGOMERY,60
1998,ST. VINCENT'S BLOUNT,ONEONTA,AL,40,BLOUNT,40
2000,PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,85,AUTAUGA,85
2001,VAUGHAN REGIONAL MEDICAL CENTER-PARKWAY CAMPUS,SELMA,AL,175,DALLAS,175
2002,HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,33,SUMTER,33
3094,NOLAND HOSPITAL ANNISTON,ANNISTON,AL,38,CALHOUN,38
3095,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,323,CALHOUN,323
3096,CALLAHAN EYE HOSPITAL,BIRMINGHAM,AL,106,JEFFERSON,106
3098,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,150,MARSHALL,150
3100,BIBB MEDICAL CENTER,CENTREVILLE,AL,35,BIBB,35
3104,FLORALA MEMORIAL HOSPITAL,FLORALA,AL,23,COVINGTON,23
3105,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,59,WINSTON,59
3113,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,65,CRENSHAW,65
3114,MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,677,MOBILE,677
3115,UNIVERSITY OF SOUTH ALABAMA CHILDREN'S AND WOMEN'S HOSPITAL,MOBILE,AL,152,MOBILE,152
3116,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,AL,406,MOBILE,406
3118,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,454,MONTGOMERY,454
3119,JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,70,RUSSELL,70
3444,CAVHCS EAST CAMPUS,MONTGOMERY,AL,0,MONGOMERY,0
3447,ST VINCENTS CHILTON,CLANTON,AL,26,CHILTON,26
3502,"NOLAND HOSPITAL MONTGOMERY, LLC",MONTGOMERY,AL,65,MONTGOMERY,65
3577,NORTH ALABAMA SPECIALTY HOSPITAL,ATHENS,AL,31,LIMESTONE,31
3590,"NOLAND HOSPITAL TUSCALOOSA, LLC",TUSCALOOSA,AL,32,TUSCALOOSA,32
3874,GREENE COUNTY HOSPITAL,EUTAW,AL,20,GREENE,20
3875,NORTH ALABAMA REGIONAL HOSPITAL,DECATUR,AL,74,MORGAN,74
3876,BAPTIST MEDICAL CENTER - PRINCETON,BIRMINGHAM,AL,505,JEFFERSON,505
3877,GEORGIANA MEDICAL CENTER,GEORGIANA,AL,22,BUTLER,22
4634,ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,88,COVINGTON,88
4635,BAYPOINTE BEHAVIORAL HEALTH,MOBILE,AL,60,MOBILE,60
4869,COMMUNITY HOSPITAL,TALLASSEE,AL,69,ELMORE,69
4880,BRYCE HOSPITAL,TUSCALOOSA,AL,0,TUSCALOOSA,0
4985,NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,70,BALDWIN,70
4995,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,BIRMINGHAM,AL,100,JEFFERSON,100
5000,HILL CREST BEHAVIORAL HEALTH SERVICES,BIRMINGHAM,AL,94,JEFFERSON,94
