county,long,lat,Daily.Mean.PM2.5.Concentration,"CA_pm2.5_4.2out[, 4]","CA_pm2.5_4.3out[, 4]","CA_pm2.5_4.4out[, 4]","CA_pm2.5_4.5out[, 4]","CA_pm2.5_4.6out[, 4]","CA_pm2.5_4.7out[, 4]","CA_pm2.5_4.8out[, 4]","CA_pm2.5_4.9out[, 4]","CA_pm2.5_4.10out[, 4]","CA_pm2.5_4.11out[, 4]","CA_pm2.5_4.12out[, 4]","CA_pm2.5_4.13out[, 4]","CA_pm2.5_4.14out[, 4]","CA_pm2.5_4.15out[, 4]","CA_pm2.5_4.16out[, 4]"
Alameda,-121.913304,37.648081,10.76,7.9,8,6.8,6.1,4.9,9.4,11.3,10.9,4.2,5,4.7,4.2,4.5,2.7,3.9
Alpine,-119.798999,38.61761,7.114749217,6.022681165,7.276170818,6.006303247,3.349563167,6.434826908,10.29259916,7.789977573,5.91206865,3.917172194,3.409748658,3.958225532,5.048510856,2.97949819,3.444696897,3.36726761
Amador,-120.653856,38.44355,6.87550797,6.105187589,6.466146199,5.855889891,3.610607993,5.384386864,10.03022924,8.325333126,5.797363541,3.842343822,3.556032608,3.906501828,4.825480034,3.29036546,3.857565132,3.487165566
Butte,-121.601919,39.665959,3.86,3.8,3,4.7,3.1,3.2,7.9,7.4,4.4,1.7,3,2.5,3.3,2.4,2.5,1.9
Calaveras,-120.680277,38.20185,4.8,5,5.3,4.4,1.8,3.7,5.1,5.8,4,1.9,2.7,3.5,4.8,2.5,1.5,2.7
Colusa,-121.99887,39.18919,3.9,6.3,3.5,4.2,3.1,4.1,8,9.4,5.2,1.6,1.6,3,4.4,4,3.3,2.9
Contra Costa,-121.951543,37.919479,8.3,7.5,8.1,5,5.8,6.2,10.3,9.8,10.4,6.2,3.3,6.1,4.9,2.7,3,5.5
Del Norte,-124.20347,41.75613,8.9,4.6,7.1,8.8,6.3,7.6,9.6,4.4,6.5,4.3,4.2,5,4.5,1.2,1.9,2.7
El Dorado,-120.534398,38.785532,6.987600562,3.8,6.528359441,6.617096534,1.9,5.410719066,9.984426905,5.5,5.567660451,3.61825174,1.2,3.970116705,4.720553174,0.2,3.782507407,3.261756612
Fresno,-119.655019,36.761006,10.9,9,5.7,6.1,3.3,8.9,15.8,12.6,6.6,2.5,4.1,1.9,2.9,3.4,4.49396985,4.307518975
Glenn,-122.190834,39.53387,1.2,2.3,1.9,2.4,1.7,2.5,5.9,8.2,2.5,0,-1.3,0.9,0.9,0,1.2,1
Humboldt,-123.925818,40.706673,5.250228383,7.1,4.867166743,4.315805351,11,5.248278056,7.556328017,8.2,4.796632118,3.312291973,6.7,4.918033484,4.067304235,4.7,3.921645766,2.832415419
Imperial,-115.355395,33.040816,10.8,11.9,7.6,14.1,11.7,9.3,5.1,11,19.8,14.1,15.3,7.1,10.5,14.2,9.9,5
Inyo,-117.403927,36.561977,3.7,4.4,5.4,5.8,3.1,6.8,6.8,9.3,5.7,6.3,5.3,2.1,5.1,3,3,2.9
Kern,-118.729506,35.346629,11.9,19.5,10,7.6,8.9,14,16,18.2,15.6,10.2,10.2,7.4,11,11.6,9.7,7.8
Kings,-119.81553,36.072478,11.3,8.5,6.4,7.4,5.2,10.6,17.8,15.5,9.7,4.3,5.2,5,6.5,5.7,4.7,3.4
Lake,-122.746757,39.094802,6.120490541,6.462931564,5.313922434,4.240079009,4.1,5.398003093,8.321503055,9.324035954,6.327978843,4.087022303,2.1,4.792686788,4.045955547,3.262088321,3.86034567,2.927431871
Lassen,-120.629931,40.721089,5.061456371,5.473424886,5.3630946,5.657320439,3.825522108,4.480879204,8.707288029,6.928735103,4.373053418,2.500461669,2.176104796,3.407126806,3.968038594,3.089668971,3.720469408,2.613552281
Los Angeles,-118.261862,34.196398,13.2,17.4,9.9,15.5,15.7,11.8,6.1,7.1,12.2,18.2,14.6,4.7,6.5,9,8.8,6.5
