Stabr,Area_name,POVALL_2019,PCTPOVALL_2019
US,United States,"39,490,096",12.3
AL,Alabama,"747,478",15.6
AL,Autauga County,"6,723",12.1
AL,Baldwin County,"22,360",10.1
AL,Barbour County,"5,909",27.1
AL,Bibb County,"4,101",20.3
AL,Blount County,"9,324",16.3
AL,Bullock County,"2,537",30
AL,Butler County,"4,124",21.6
AL,Calhoun County,"18,988",17.2
AL,Chambers County,"6,415",19.6
AL,Cherokee County,"4,121",15.9
AL,Chilton County,"7,044",16
AL,Choctaw County,"2,811",22.6
AL,Clarke County,"4,281",18.4
AL,Clay County,"2,156",16.6
AL,Cleburne County,"1,945",13.3
AL,Coffee County,"7,734",15
AL,Colbert County,"7,998",14.6
AL,Conecuh County,"2,662",22.2
AL,Coosa County,"1,789",17.1
AL,Covington County,"6,269",17.2
AL,Crenshaw County,"2,289",16.8
AL,Cullman County,"10,088",12.2
AL,Dale County,"8,727",18.1
AL,Dallas County,"9,533",26
AL,DeKalb County,"12,848",18.2
AL,Elmore County,"8,753",11.4
AL,Escambia County,"6,980",20.5
AL,Etowah County,"18,801",18.8
AL,Fayette County,"2,721",17
AL,Franklin County,"4,989",16.1
AL,Geneva County,"4,180",16.1
AL,Greene County,"2,553",31.7
AL,Hale County,"2,956",20.5
AL,Henry County,"2,919",17.2
AL,Houston County,"20,207",19.4
AL,Jackson County,"7,481",14.7
AL,Jefferson County,"104,288",16.2
AL,Lamar County,"2,070",15.3
AL,Lauderdale County,"14,193",15.7
AL,Lawrence County,"5,773",17.7
AL,Lee County,"24,731",15.5
AL,Limestone County,"11,535",12
AL,Lowndes County,"2,555",26.6
AL,Macon County,"4,817",29.3
AL,Madison County,"41,789",11.5
AL,Marengo County,"4,601",24.8
AL,Marion County,"4,883",16.9
AL,Marshall County,"14,989",15.7
AL,Mobile County,"71,784",17.7
AL,Monroe County,"4,770",23.3
AL,Montgomery County,"34,268",15.8
AL,Morgan County,"16,146",13.7
AL,Perry County,"2,778",33.9
AL,Pickens County,"4,380",24.3
AL,Pike County,"6,742",21.8
AL,Randolph County,"3,906",17.5
AL,Russell County,"10,823",18.9
AL,St. Clair County,"9,780",11.2
AL,Shelby County,"13,428",6.2
AL,Sumter County,"4,195",36.4
AL,Talladega County,"13,326",17.4
AL,Tallapoosa County,"6,341",16
AL,Tuscaloosa County,"32,226",16.2
AL,Walker County,"10,837",17.3
AL,Washington County,"2,998",18.6
AL,Wilcox County,"3,329",32.5
AL,Winston County,"3,882",16.7
AK,Alaska,"73,033",10.2
AK,Aleutians East Borough,492,14.8
AK,Aleutians West Census Area,414,7.6
AK,Anchorage Borough,"26,636",9.5
AK,Bethel Census Area,"4,249",23.5
AK,Bristol Bay Borough,80,9.8
AK,Denali Borough,132,6.6
AK,Dillingham Census Area,883,18.1
AK,Fairbanks North Star Borough,"6,656",7.2
AK,Haines Borough,247,9.8
AK,Hoonah-Angoon Census Area,336,15.7
AK,Juneau Borough,"1,951",6.3
AK,Kenai Peninsula Borough,"5,966",10.4
AK,Ketchikan Gateway Borough,"1,283",9.4
AK,Kodiak Island Borough,909,7.1
AK,Kusilvak Census Area,"2,217",26.8
AK,Lake and Peninsula Borough,275,17.4
AK,Matanuska-Susitna Borough,"10,142",9.6
AK,Nome Census Area,"2,033",20.7
AK,North Slope Borough,"1,109",11.4
AK,Northwest Arctic Borough,"1,805",24
AK,Petersburg Borough,219,6.7
AK,Prince of Wales-Hyder Census Area,"1,085",17.6
AK,Sitka Borough,672,8.1
AK,Skagway Municipality,47,4
AK,Southeast Fairbanks Census Area,823,12
AK,Valdez-Cordova Census Area,781,8.6
AK,Wrangell City and Borough,240,9.7
AK,Yakutat Borough,85,14.7
AK,Yukon-Koyukuk Census Area,"1,266",24.4
AZ,Arizona,"963,007",13.5
AZ,Apache County,"23,680",33.4
AZ,Cochise County,"20,172",16.6
AZ,Coconino County,"20,817",15.9
AZ,Gila County,"11,219",21.1
AZ,Graham County,"7,207",20.1
AZ,Greenlee County,876,9.3
AZ,La Paz County,"4,593",22.1
AZ,Maricopa County,"539,670",12.2
AZ,Mohave County,"33,183",16
AZ,Navajo County,"27,440",25.2
AZ,Pima County,"142,859",14
AZ,Pinal County,"52,975",12.1
AZ,Santa Cruz County,"8,688",18.8
AZ,Yavapai County,"27,845",12
AZ,Yuma County,"41,782",20.4
AR,Arkansas,"468,575",16
AR,Arkansas County,"2,714",15.8
AR,Ashley County,"3,603",18.5
AR,Baxter County,"5,248",12.7
AR,Benton County,"24,525",8.9
AR,Boone County,"5,572",15.1
AR,Bradley County,"2,426",22.9
AR,Calhoun County,771,15.4
AR,Carroll County,"4,118",14.7
AR,Chicot County,"2,900",31
AR,Clark County,"3,971",20.6
AR,Clay County,"2,691",18.7
AR,Cleburne County,"3,452",14.1
AR,Cleveland County,"1,080",13.7
AR,Columbia County,"4,509",21.2
AR,Conway County,"3,215",15.6
AR,Craighead County,"17,960",16.9
AR,Crawford County,"11,436",18.3
AR,Crittenden County,"10,520",22.4
AR,Cross County,"2,874",17.8
AR,Dallas County,"1,241",18.8
AR,Desha County,"2,859",25.4
AR,Drew County,"3,191",18.5
AR,Faulkner County,"17,459",14.4
AR,Franklin County,"2,830",16.2
AR,Fulton County,"2,169",17.7
AR,Garland County,"16,532",16.9
AR,Grant County,"2,189",12.1
AR,Greene County,"6,925",15.5
AR,Hempstead County,"3,930",18.5
AR,Hot Spring County,"6,322",20.2
AR,Howard County,"2,176",16.8
AR,Independence County,"5,852",15.9
AR,Izard County,"2,003",15.9
AR,Jackson County,"3,313",22.9
AR,Jefferson County,"14,942",24.4
AR,Johnson County,"4,521",17.5
AR,Lafayette County,"1,655",25.5
AR,Lawrence County,"2,887",18.4
AR,Lee County,"2,515",35.4
AR,Lincoln County,"2,567",27.1
AR,Little River County,"2,157",17.8
AR,Logan County,"3,640",17.4
AR,Lonoke County,"7,760",10.7
AR,Madison County,"2,699",16.4
AR,Marion County,"2,687",16.3
AR,Miller County,"5,909",14.1
AR,Mississippi County,"9,128",23
AR,Monroe County,"1,681",25.5
AR,Montgomery County,"1,756",19.9
AR,Nevada County,"1,951",24.1
AR,Newton County,"1,386",18.1
AR,Ouachita County,"3,969",17.3
AR,Perry County,"1,710",16.5
AR,Phillips County,"5,841",33.3
AR,Pike County,"1,769",16.9
AR,Poinsett County,"5,339",23.1
AR,Polk County,"3,991",20.2
AR,Pope County,"10,218",16.9
AR,Prairie County,"1,190",15
AR,Pulaski County,"56,020",14.6
AR,Randolph County,"3,036",17.3
AR,St. Francis County,"6,679",32
AR,Saline County,"11,665",9.6
AR,Scott County,"1,983",19.6
AR,Searcy County,"1,740",22.4
AR,Sebastian County,"19,923",15.9
AR,Sevier County,"2,962",17.7
AR,Sharp County,"4,007",23.3
