Name,poverty(percent)
Anderson,19.8
Andrews,10.2
Angelina,15.6
Aransas,18.7
Archer,10.3
Armstrong,10.6
Atascosa,14.7
Austin,11.1
Bailey,15.9
Bandera,12.9
Bastrop,14
Baylor,15.9
Bee,24
Bell,13.8
Bexar,15.2
Blanco,8.6
Borden,10.6
Bosque,13.7
Bowie,16.8
Brazoria,8.6
Brazos,20
Brewster,13.1
Briscoe,15
Brooks,29.6
Brown,13.7
Burleson,13.8
Burnet,10.5
Caldwell,14.4
Calhoun,14.7
Callahan,12.1
Cameron,25.5
Camp,16.6
Carson,8.5
Cass,17.3
Castro,15.3
Chambers,8.6
Cherokee,16.5
Childress,21.9
Clay,11.5
Cochran,19.5
Coke,13.1
Coleman,17.7
Collin,6.1
Collingsworth,19.8
Colorado,13.6
Comal,6.7
Comanche,13.5
Concho,15.1
Cooke,12.7
Coryell,11.8
Cottle,18.9
Crane,9.6
Crockett,13.8
Crosby,22.1
Culberson,19.7
Dallam,11.4
Dallas,14
Dawson,20.6
Deaf Smith,17
Delta,16
Denton,6.5
DeWitt,17.1
Dickens,19.4
Dimmit,25.3
Donley,16.4
Duval,23.9
Eastland,16.7
Ector,12.1
Edwards,20.7
Ellis,8.7
El Paso,18.8
Erath,15.2
Falls,21.6
Fannin,13.2
Fayette,10.9
Fisher,13.3
Floyd,17.3
Foard,17
Fort Bend,6.6
Franklin,14.4
Freestone,15.5
Frio,27.7
Gaines,13.2
Galveston,11.3
Garza,24.2
Gillespie,8.5
Glasscock,7.9
Goliad,13.4
Gonzales,16.2
Gray,14.5
Grayson,11.6
Gregg,16.5
Grimes,15.9
Guadalupe,7.4
Hale,17.9
Hall,25.4
Hamilton,14.3
Hansford,11.7
Hardeman,19.2
Hardin,12.1
Harris,15
Harrison,17.8
Hartley,8.6
Haskell,20.7
Hays,11.2
Hemphill,9.1
Henderson,17.5
Hidalgo,26.9
Hill,13.1
Hockley,15.5
Hood,9.2
Hopkins,14.7
Houston,20.9
Howard,17
Hudspeth,28
Hunt,14.8
Hutchinson,11.4
Irion,7.4
Jack,15.6
Jackson,13.8
Jasper,19.5
Jeff Davis,12.7
Jefferson,16.9
Jim Hogg,22.8
Jim Wells,21
Johnson,11
Jones,20.4
Karnes,21
Kaufman,9.8
Kendall,7.4
Kenedy,14.2
Kent,11.5
Kerr,12.5
Kimble,17
King,11
Kinney,18.9
Kleberg,23.3
Knox,19.1
Lamar,18.4
Lamb,18.5
Lampasas,12.4
La Salle,26.6
Lavaca,11
Lee,10.7
Leon,14.4
Liberty,14.4
Limestone,19.2
Lipscomb,12.4
Live Oak,16.5
Llano,10.8
Loving,7.1
Lubbock,17.9
Lynn,16
McCulloch,17.6
McLennan,18
McMullen,10.5
Madison,17.8
Marion,21.4
Martin,12.1
Mason,11.7
Matagorda,17.5
Maverick,26.9
Medina,12.2
Menard,20.7
Midland,9.9
Milam,16.3
Mills,13.2
Mitchell,19.5
Montague,12.9
Montgomery,8.9
Moore,11.9
Morris,18.1
Motley,17.6
Nacogdoches,20.9
Navarro,13.4
Newton,22.8
Nolan,17.5
Nueces,16.5
Ochiltree,11.4
Oldham,13.1
Orange,12.5
Palo Pinto,17.2
Panola,14.3
Parker,8.2
Parmer,11.8
Pecos,18.7
Polk,16.7
Potter,20.3
Presidio,19.2
Rains,13.4
Randall,9
Reagan,8.9
Real,17.7
Red River,19.6
Reeves,22.1
Refugio,18
Roberts,7.4
Robertson,20.7
Rockwall,4.8
Runnels,17.2
Rusk,15.4
Sabine,17.6
San Augustine,22.5
San Jacinto,16.8
San Patricio,14.4
San Saba,20.7
Schleicher,15
Scurry,14.7
Shackelford,12.7
Shelby,21.4
Sherman,11.1
Smith,12.9
Somervell,9.4
Starr,32.5
Stephens,17
Sterling,10.7
Stonewall,15.1
Sutton,13.1
Swisher,20.6
Tarrant,10.2
Taylor,14
Terrell,17.5
Terry,21.6
Throckmorton,13.9
Titus,16.3
Tom Green,12.9
Travis,10.8
Trinity,17.9
Tyler,17.2
Upshur,14.9
Upton,13.8
Uvalde,19.8
Val Verde,20.8
Van Zandt,13.6
Victoria,14.3
Walker,21.4
Waller,13.2
Ward,12.4
Washington,10.6
Webb,20.9
Wharton,16.4
Wheeler,11.6
Wichita,13.9
Wilbarger,14.9
Willacy,30.5
Williamson,5.4
Wilson,8.3
Winkler,12.5
Wise,8.3
Wood,14.3
Yoakum,10.6
Young,13.6
Zapata,30.1
Zavala,29.6
