Name,Unemployment(2019)
Anderson,2.9
Andrews,2.2
Angelina,4
Aransas,4.3
Archer,2.8
Armstrong,2.7
Atascosa,3.6
Austin,3.4
Bailey,3.7
Bandera,3.3
Bastrop,3
Baylor,2.3
Bee,4.4
Bell,3.8
Bexar,3.1
Blanco,2.4
Borden,2.5
Bosque,3.4
Bowie,4.4
Brazoria,4.2
Brazos,2.7
Brewster,2.9
Briscoe,3.5
Brooks,5.1
Brown,3.7
Burleson,3.1
Burnet,2.7
Caldwell,3.3
Calhoun,3.2
Callahan,3.1
Cameron,5.5
Camp,4.2
Carson,2.6
Cass,4.3
Castro,2.8
Chambers,4.5
Cherokee,3.8
Childress,2.7
Clay,3.1
Cochran,3.4
Coke,3.2
Coleman,4.1
Collin,3.1
Collingsworth,3.2
Colorado,3.1
Comal,3
Comanche,3.2
Concho,3.2
Cooke,2.8
Coryell,3.9
Cottle,4.2
Crane,4
Crockett,2.9
Crosby,3.9
Culberson,4
Dallam,1.9
Dallas,3.5
Dawson,3.9
Deaf Smith,2.8
Delta,3.4
Denton,3
DeWitt,2.6
Dickens,4.4
Dimmit,2.5
Donley,3.5
Duval,4.5
Eastland,3.3
Ector,2.6
Edwards,2.3
Ellis,3.1
El Paso,3.8
Erath,3.2
Falls,3.3
Fannin,2.7
Fayette,2.6
Fisher,2.9
Floyd,4.3
Foard,3.1
Fort Bend,3.5
Franklin,3.6
Freestone,4.8
Frio,2.6
Gaines,2.4
Galveston,4
Garza,2.7
Gillespie,2.4
Glasscock,2.1
Goliad,3.4
Gonzales,2.7
Gray,3.6
Grayson,3.1
Gregg,3.7
Grimes,3.9
Guadalupe,2.9
Hale,4.5
Hall,4.1
Hamilton,3
Hansford,2.3
Hardeman,3
Hardin,4.6
Harris,3.8
Harrison,4
Hartley,1.6
Haskell,3.3
Hays,2.8
Hemphill,2.7
Henderson,3.5
Hidalgo,6.2
Hill,3.3
Hockley,3
Hood,3.4
Hopkins,3.1
Houston,3.1
Howard,3.1
Hudspeth,4.4
Hunt,3.5
Hutchinson,4.4
Irion,2.4
Jack,3.1
Jackson,3
Jasper,6.1
Jeff Davis,2.9
Jefferson,5.8
Jim Hogg,4.8
Jim Wells,4.7
Johnson,3.2
Jones,4.3
Karnes,2.5
Kaufman,3.3
Kendall,2.7
Kenedy,3.6
Kent,2.3
Kerr,3
Kimble,3.1
King,2.1
Kinney,3.6
Kleberg,4.4
Knox,3.3
Lamar,3.4
Lamb,3.8
Lampasas,3.3
La Salle,2.4
Lavaca,3
Lee,2.6
Leon,4.4
Liberty,5
Limestone,3.9
Lipscomb,2.6
Live Oak,3.1
Llano,3.4
Loving,0.7
Lubbock,2.8
Lynn,3
McCulloch,5.2
McLennan,3.3
McMullen,1.6
Madison,4.3
Marion,4.3
Martin,2.6
Mason,3.2
Matagorda,5.7
Maverick,7.5
Medina,3.1
Menard,3.5
Midland,2.1
Milam,5
Mills,3.3
Mitchell,3.5
Montague,2.8
Montgomery,3.4
Moore,2.3
Morris,5.3
Motley,3.5
Nacogdoches,3.7
Navarro,3.2
Newton,6.3
Nolan,2.9
Nueces,4.1
Ochiltree,2.7
Oldham,2.8
Orange,5.2
Palo Pinto,3.1
Panola,4
Parker,2.9
Parmer,2.2
Pecos,3.3
Polk,4.7
Potter,2.7
Presidio,6.5
Rains,3
Randall,2.4
Reagan,2.5
Real,4
Red River,4.6
Reeves,1.7
Refugio,3.7
Roberts,3.1
Robertson,3.6
Rockwall,3.1
Runnels,2.8
Rusk,3.6
Sabine,6.6
San Augustine,4.8
San Jacinto,4.6
San Patricio,5.4
San Saba,2.9
Schleicher,2.9
Scurry,3.2
Shackelford,2.2
Shelby,3.9
Sherman,2.3
Smith,3.3
Somervell,3.6
Starr,9.8
Stephens,3.1
Sterling,3.1
Stonewall,2.9
Sutton,3.7
Swisher,3.7
Tarrant,3.3
Taylor,2.9
Terrell,3.4
Terry,3.7
Throckmorton,3.8
Titus,4.2
Tom Green,3
Travis,2.6
Trinity,4.8
Tyler,5.8
Upshur,3.7
Upton,2.9
Uvalde,3.8
Val Verde,3.4
Van Zandt,3.3
Victoria,3.4
Walker,3.9
Waller,3.7
Ward,2.3
Washington,3.3
Webb,3.7
Wharton,3.4
Wheeler,3
Wichita,3.2
Wilbarger,3.6
Willacy,8.2
Williamson,2.8
Wilson,2.8
Winkler,2.8
Wise,3.2
Wood,3.9
Yoakum,2.9
Young,3
Zapata,5.1
Zavala,8.5
