Stabr,area_name,Employed_2019,Unemployed_2019,Unemployment_rate_2019
US,United States,"157,115,247","5,984,808",3.7
AL,Alabama,"2,174,483","67,264",3
AL,"Autauga County, AL","25,458",714,2.7
AL,"Baldwin County, AL","94,675","2,653",2.7
AL,"Barbour County, AL","8,213",324,3.8
AL,"Bibb County, AL","8,419",266,3.1
AL,"Blount County, AL","24,655",676,2.7
AL,"Bullock County, AL","4,643",175,3.6
AL,"Butler County, AL","8,925",338,3.6
AL,"Calhoun County, AL","44,574","1,635",3.5
AL,"Chambers County, AL","15,286",462,2.9
AL,"Cherokee County, AL","11,266",338,2.9
AL,"Chilton County, AL","19,280",538,2.7
AL,"Choctaw County, AL","4,452",218,4.7
AL,"Clarke County, AL","7,121",436,5.8
AL,"Clay County, AL","5,918",183,3
AL,"Cleburne County, AL","5,623",183,3.2
AL,"Coffee County, AL","20,779",623,2.9
AL,"Colbert County, AL","22,761",885,3.7
AL,"Conecuh County, AL","4,353",180,4
AL,"Coosa County, AL","4,414",135,3
AL,"Covington County, AL","15,119",534,3.4
AL,"Crenshaw County, AL","6,293",183,2.8
AL,"Cullman County, AL","37,648",998,2.6
AL,"Dale County, AL","20,082",642,3.1
AL,"Dallas County, AL","13,904",807,5.5
AL,"DeKalb County, AL","30,182",870,2.8
AL,"Elmore County, AL","36,586",979,2.6
AL,"Escambia County, AL","14,248",514,3.5
AL,"Etowah County, AL","41,295","1,428",3.3
AL,"Fayette County, AL","6,372",207,3.1
AL,"Franklin County, AL","14,291",405,2.8
AL,"Geneva County, AL","10,725",320,2.9
AL,"Greene County, AL","2,722",161,5.6
AL,"Hale County, AL","5,878",241,3.9
AL,"Henry County, AL","6,697",247,3.6
AL,"Houston County, AL","44,844","1,390",3
AL,"Jackson County, AL","22,712",772,3.3
AL,"Jefferson County, AL","309,664","9,091",2.9
AL,"Lamar County, AL","5,670",179,3.1
AL,"Lauderdale County, AL","41,160","1,388",3.3
AL,"Lawrence County, AL","13,859",447,3.1
AL,"Lee County, AL","74,500","2,080",2.7
AL,"Limestone County, AL","42,700","1,154",2.6
AL,"Lowndes County, AL","3,383",204,5.7
AL,"Macon County, AL","7,513",337,4.3
AL,"Madison County, AL","180,505","4,714",2.5
AL,"Marengo County, AL","7,423",271,3.5
AL,"Marion County, AL","12,486",446,3.4
AL,"Marshall County, AL","42,999","1,086",2.5
AL,"Mobile County, AL","182,083","7,024",3.7
AL,"Monroe County, AL","6,973",356,4.9
AL,"Montgomery County, AL","102,517","3,260",3.1
AL,"Morgan County, AL","56,771","1,500",2.6
AL,"Perry County, AL","3,235",178,5.2
AL,"Pickens County, AL","7,647",276,3.5
AL,"Pike County, AL","14,924",504,3.3
AL,"Randolph County, AL","9,347",292,3
AL,"Russell County, AL","23,198",698,2.9
AL,"St. Clair County, AL","39,441","1,091",2.7
AL,"Shelby County, AL","113,414","2,525",2.2
AL,"Sumter County, AL","4,635",219,4.5
AL,"Talladega County, AL","34,556","1,213",3.4
AL,"Tallapoosa County, AL","18,096",556,3
AL,"Tuscaloosa County, AL","102,122","2,842",2.7
AL,"Walker County, AL","24,517",830,3.3
AL,"Washington County, AL","6,487",313,4.6
AL,"Wilcox County, AL","2,544",195,7.1
AL,"Winston County, AL","9,705",336,3.3
AK,Alaska,"326,430","21,349",6.1
AK,"Aleutians East Borough, AK","2,360",68,2.8
AK,"Aleutians West Census Area, AK","3,477",129,3.6
AK,"Anchorage Borough/municipality, AK","139,526","7,423",5.1
AK,"Bethel Census Area, AK","6,120",905,12.9
AK,"Bristol Bay Borough, AK",414,27,6.1
AK,"Denali Borough, AK",950,88,8.5
AK,"Dillingham Census Area, AK","1,781",157,8.1
