State,income
United States,68703
Alabama,56200
Alaska,78394
Arizona,70674
Arkansas,54539
California,78105
Colorado,72499
Connecticut,87291
Delaware,74194
District of Columbia,93111
Florida,58368
Georgia,56628
Hawaii,88006
Idaho,65988
Illinois,74399
Indiana,66693
Iowa,66054
Kansas,73151
Kentucky,55662
Louisiana,51707
Maine,66546
Maryland,95572
Massachusetts,87707
Michigan,64119
Minnesota,81426
Mississippi,44787
Missouri,60597
Montana,60195
Nebraska,73071
Nevada,70906
New Hampshire,86900
New Jersey,87726
New Mexico,53113
New York,71855
North Carolina,61159
North Dakota,70031
Ohio,64663
Oklahoma,59397
Oregon,74413
Pennsylvania,70582
Rhode Island,70151
South Carolina,62028
South Dakota,64255
Tennessee,56627
Texas,67444
Utah,84523
Vermont,74305
Virginia,81313
Washington,82454
West Virginia,53706
Wisconsin,67355
Wyoming,65134
