Date,State_abbreviation,state,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_Latinx,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown,Tests_Total,Tests_White,Tests_Black,Tests_Latinx,Tests_Asian,Tests_AIAN,Tests_NHPI,Tests_Multiracial,Tests_Other,Tests_Unknown,Tests_Ethnicity_Hispanic,Tests_Ethnicity_NonHispanic,Tests_Ethnicity_Unknown
20210127,AK,Alaska,53670,16832,1388,,2117,11252,1433,4117,6648,9883,3004,27847,22819,261,105,9,,27,99,16,2,0,3,11,242,8,1200,389,46,,112,318,120,67,49,99,61,886,253,,,,,,,,,,,,,
20210127,AL,Alabama,449086,142768,74153,,1917,,,,35710,194538,11536,147347,290203,7172,3420,1716,,17,,,,193,1826,118,4497,2557,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,AR,Arkansas,288964,184648,45656,,2601,882,3179,1734,14737,35527,31786,257178,0,4742,3488,660,,30,8,53,13,171,319,156,4586,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,AZ,Arizona,738561,262028,21727,213959,10084,35180,,,39249,156334,213959,368268,156334,12643,6103,333,3642,156,1082,,,343,984,3642,8017,984,51037,23138,2188,16751,888,3965,,,2122,1985,16751,32301,1985,,,,,,,,,,,,,
20210127,CA,California,3169914,475186,96053,1317261,158576,7664,13633,31788,296416,773337,1317261,1079316,773337,38224,11664,2391,16822,4256,117,213,422,691,1648,16822,19754,1648,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,CO,Colorado,390258,154932,11200,109428,5659,2303,1132,5581,2888,97135,109428,183695,97135,5552,3527,184,1117,114,36,10,145,39,380,1117,4055,380,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,CT,Connecticut,247339,71919,17113,37085,2503,364,,13146,12706,92503,37085,117751,92503,6976,4983,859,685,79,3,,222,32,113,685,6178,113,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,DE,Delaware,75832,35800,17246,12763,1523,,,,4545,3955,12763,59114,3955,1072,737,246,64,10,,,,14,1,64,1007,1,,,,,,,,,,,,,,576414,281713,104874,48621,14159,,,,53598,73449,48621,454344,73449
20210127,FL,Florida,1676171,556567,203080,518230,,,,,117956,280338,518230,770979,386962,26249,13874,4067,6082,,,,,1112,1114,6082,17912,2255,72215,32948,14286,18418,,,,,3762,2801,18418,48999,4798,,,,,,,,,,,,,
20210127,GA,Georgia,731826,274718,186336,76489,14926,449,658,,30908,147342,76489,428750,226587,13643,6780,4268,688,217,8,6,,61,1615,688,11295,1660,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,HI,Hawaii,25442,3150,462,,5494,,7245,,876,8215,,,25442,404,32,5,,181,,103,,5,78,,,404,2057,133,12,,495,,593,,32,792,,,792,,,,,,,,,,,,,
20210127,IA,Iowa,315420,189252,9463,,3154,888,824,,2379,109460,18925,179789,116706,4500,4177,106,,56,12,15,,46,88,117,4383,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,ID,Idaho,161212,91944,935,,1120,1946,370,,12393,52504,16438,67302,77472,1714,1601,9,,15,33,,,37,19,167,1535,12,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,IL,Illinois,1112181,413657,100901,204050,23817,1344,1018,,37982,329412,204050,578719,329412,20949,11073,3403,2993,680,23,18,,114,2645,2993,15311,2645,,,,,,,,,,,,,,15633443,5007329,1132006,1075106,557029,12411,15186,,456094,7378282,1075106,7180055,7378282
20210127,IN,Indiana,617176,413077,40916,,8143,,,,68024,87016,35792,316719,264665,9845,6872,771,,56,,,,1253,893,215,5079,4551,,,,,,,,,,,,,,2920127,1990241,217911,,54228,,,,342785,314962,111644,1403396,1405087
20210127,KS,Kansas,272517,190581,13204,,4929,1881,,,10878,51044,36600,164184,71733,3718,2868,188,,41,28,,,204,389,258,2937,523,8268,6223,670,,160,63,,,539,613,1223,6241,804,1159776,725359,54426,,21642,7240,,,38804,312305,86176,620086,453514
