County,Jurisdiction,Population
Alameda,Alameda,"78,863"
Alameda,Albany,"19,053"
Alameda,Berkeley,"121,874"
Alameda,Dublin,"63,241"
Alameda,Emeryville,"11,994"
Alameda,Fremont,"235,439"
Alameda,Hayward,"162,030"
Alameda,Livermore,"91,411"
Alameda,Newark,"47,467"
Alameda,Oakland,"428,827"
Alameda,Piedmont,"11,318"
Alameda,Pleasanton,"79,201"
Alameda,San Leandro,"87,598"
Alameda,Unincorporated Alameda,"148,895"
Alameda,Union City,"72,991"
Alpine,Unincorporated Alpine,"1,154"
Amador,Amador,186
Amador,Ione,"8,058"
Amador,Jackson,"4,679"
Amador,Plymouth,"1,002"
Amador,Sutter Creek,"2,479"
Amador,Unincorporated Amador,"21,690"
Butte,Biggs,"1,913"
Butte,Chico,"92,348"
Butte,Gridley,"6,937"
Butte,Oroville,"18,144"
Butte,Paradise,"26,572"
Butte,Unincorporated Butte,"81,707"
Calaveras,Angels,"4,121"
Calaveras,Unincorporated Calaveras,"41,036"
Colusa,Colusa,"6,241"
Colusa,Unincorporated Colusa,"10,392"
Colusa,Williams,"5,465"
Contra Costa,Antioch,"113,061"
Contra Costa,Brentwood,"63,042"
Contra Costa,Clayton,"11,431"
Contra Costa,Concord,"129,159"
Contra Costa,Danville,"44,396"
Contra Costa,El Cerrito,"24,939"
Contra Costa,Hercules,"26,317"
Contra Costa,Lafayette,"25,655"
Contra Costa,Martinez,"38,097"
Contra Costa,Moraga,"16,991"
Contra Costa,Oakley,"41,742"
Contra Costa,Orinda,"19,199"
Contra Costa,Pinole,"19,236"
Contra Costa,Pittsburg,"72,647"
Contra Costa,Pleasant Hill,"35,068"
Contra Costa,Richmond,"110,967"
Contra Costa,San Pablo,"31,593"
Contra Costa,San Ramon,"82,643"
Contra Costa,Unincorporated Contra Costa,"172,513"
Contra Costa,Walnut Creek,"70,667"
Del Norte,Crescent City,"6,590"
Del Norte,Unincorporated Del Norte,"20,631"
