"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2020-03","0","0","18","8","0",,"0","3","0","2","0","31","0",,"0.94","74",,"558","3.36",,"47.0","54.1","39.9"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2020-04","4","4","6","4",,,"0","0","0","11","0","33",,,"1.23","80",,"349","2.79",,"53.5","62.7","44.3"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2020-05","81","77","7","4",,,"0","0","0","14","3","41",,,"0.47","93",,"203","1.20",,"61.0","71.1","50.8"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2020-06","194","113","1","0",,,"0","0","0","21","2","43",,,"0.01","92",,"90","0.01",,"65.8","77.0","54.6"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2020-07","350","155","1","0",,,"0","0","0","30","2","45",,,"0.01","94","33","33","0.01",,"68.9","80.2","57.6"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2020-08","625","275","3","1",,,"0","0","0","29","6","51",,,"0.14","98","38","4","0.20",,"74.1","84.5","63.8"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2020-09","857","232","0","0",,,"0","0","0","29","5","50",,,"0.00","103","44","6","0.00",,"72.5","82.8","62.2"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2020-10","1043","186","1","0",,,"0","0","0","25","4","43",,,"0.01","92","102","58","0.01",,"69.3","78.5","60.0"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2020-11","1062","19","9","3",,,"0","0","0","6","0","34",,,"0.79","85","479","377","2.02",,"53.0","61.6","44.5"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2020-12","1062","0","12","7",,,"0","0","0","1","0","37",,,"0.85","70","954","475","3.57",,"49.7","56.6","42.7"
"USC00048273","SKYLINE RIDGE PRESERVE, CA US","37.3133","-122.185","691.9","2021-01","0","0","13","8",,,"0","2","0","0","0","29",,,"1.89","67","1484","529","5.33",,"47.9","54.5","41.3"
"USW00023293","SAN JOSE INTERNATIONAL AIRPORT, CA US","37.3591","-121.924","15.5","2020-03","0","0","11","5",,,"0","0","0","5","0","37",,,"0.58","78","1744","316","2.06",,"54.8","63.6","46.0"
"USW00023293","SAN JOSE INTERNATIONAL AIRPORT, CA US","37.3591","-121.924","15.5","2020-04","15","15","3","3",,,"0","0","0","13","0","38",,,"0.77","85","1911","167","1.20",,"59.9","70.1","49.8"
"USW00023293","SAN JOSE INTERNATIONAL AIRPORT, CA US","37.3591","-121.924","15.5","2020-05","94","79","3","0",,,"0","0","0","30","4","45",,,"0.06","97","1948","36","0.13",,"66.4","78.5","54.2"
"USW00023293","SAN JOSE INTERNATIONAL AIRPORT, CA US","37.3591","-121.924","15.5","2020-06","256","161","0","0",,,"0","0","0","30","5","52",,,"0.00","97","1952","4","0.00",,"70.2","82.8","57.6"
"USW00023293","SAN JOSE INTERNATIONAL AIRPORT, CA US","37.3591","-121.924","15.5","2020-07","400","145","0","0",,,"0","0","0","31","2","54",,,"0.00","91","0","0","0.00",,"69.7","81.5","57.9"
"USW00023293","SAN JOSE INTERNATIONAL AIRPORT, CA US","37.3591","-121.924","15.5","2020-08","672","271","1","0",,,"0","0","0","31","8","55",,,"0.01","103","0","0","0.01",,"73.7","85.4","62.1"
"USW00023293","SAN JOSE INTERNATIONAL AIRPORT, CA US","37.3591","-121.924","15.5","2020-09","881","210","0","0",,,"0","0","0","28","6","56",,,"0.00","105","3","3","0.00",,"71.9","83.0","60.8"
"USW00023293","SAN JOSE INTERNATIONAL AIRPORT, CA US","37.3591","-121.924","15.5","2020-10","1031","150","0","0",,,"0","0","0","30","7","47",,,"0.00","95","25","22","0.00",,"69.1","82.4","55.8"
"USW00023293","SAN JOSE INTERNATIONAL AIRPORT, CA US","37.3591","-121.924","15.5","2020-11","1032","1","6","0",,,"0","0","0","6","0","33",,,"0.05","80","342","316","0.13",,"54.5","66.5","42.5"
